Player Name,Location X,Location Y,Model Prediction,Actual Outcome
Jae Crowder,285.0,344.0,0.0,0.0
Tyler Ulis,735.0,341.0,1.0,0.0
Brandon Jennings,290.0,213.0,0.0,0.0
J.J. Barea,740.0,43.0,0.0,0.0
Harrison Barnes,52.0,250.0,1.0,1.0
Jamychal Green,54.0,246.0,1.0,0.0
Jaylen Brown,98.0,213.0,1.0,0.0
Isaiah Thomas,59.0,265.0,1.0,0.0
Carmelo Anthony,98.0,408.0,1.0,0.0
Solomon Hill,666.0,401.0,0.0,0.0
Shelvin Mack,804.0,163.0,0.0,0.0
Amir Johnson,72.0,288.0,1.0,0.0
Maurice Harkless,67.0,259.0,1.0,1.0
Brandon Jennings,151.0,473.0,0.0,1.0
Kawhi Leonard,79.0,100.0,1.0,1.0
Alec Burks,45.0,480.0,0.0,1.0
Devin Booker,784.0,249.0,0.0,0.0
Ben Mclemore,246.0,103.0,0.0,0.0
Darren Collison,62.0,215.0,0.0,1.0
Jeremy Lin,882.0,230.0,0.0,0.0
Marcus Smart,136.0,108.0,0.0,0.0
Gerald Green,167.0,400.0,0.0,1.0
Jahlil Okafor,812.0,199.0,0.0,0.0
Aaron Gordon,871.0,241.0,0.0,1.0
Jason Terry,328.0,207.0,0.0,1.0
Tyler Johnson,807.0,248.0,1.0,1.0
Jimmy Butler,265.0,380.0,1.0,0.0
Malcolm Brogdon,62.0,239.0,1.0,0.0
Carmelo Anthony,313.0,226.0,1.0,0.0
Cole Aldrich,888.0,250.0,1.0,1.0
Timofey Mozgov,77.0,221.0,1.0,0.0
Rodney Stuckey,842.0,341.0,0.0,0.0
Boris Diaw,288.0,143.0,0.0,1.0
Raymond Felton,887.0,240.0,0.0,1.0
Ivica Zubac,883.0,283.0,0.0,1.0
Devin Booker,910.0,14.0,0.0,1.0
Darren Collison,72.0,252.0,1.0,1.0
James Harden,788.0,171.0,0.0,0.0
Arron Afflalo,645.0,176.0,0.0,0.0
Chinanu Onuaku,888.0,250.0,1.0,1.0
Sam Dekker,878.0,223.0,1.0,1.0
Dennis Schroder,769.0,352.0,1.0,1.0
Otto Porter Jr.,881.0,280.0,0.0,0.0
Devin Booker,156.0,195.0,0.0,1.0
Nicolas Brussino,671.0,123.0,0.0,0.0
Sean Kilpatrick,882.0,257.0,1.0,1.0
Malachi Richardson,172.0,468.0,0.0,0.0
Rudy Gay,876.0,228.0,0.0,1.0
Kristaps Porzingis,876.0,259.0,1.0,1.0
Matthew Dellavedova,200.0,259.0,1.0,0.0
James Harden,632.0,131.0,0.0,0.0
D'Angelo Russell,175.0,242.0,0.0,0.0
Luol Deng,256.0,403.0,0.0,0.0
Juancho Hernangomez,873.0,231.0,1.0,0.0
